longitude,district,street,geo_code,latitude,street_number,nation,province,city
107,平塘县,,wks6,26,,中国,贵州省,黔南布依族苗族自治州
108,施秉县,,wksx,27,,中国,贵州省,黔东南苗族侗族自治州
118,睢宁县,魏袁线,wtgz,34,魏袁线,中国,江苏省,徐州市
110,澄城县,,wqq0,35,,中国,陕西省,渭南市
123,扎兰屯市,,y8xd,48,,中国,内蒙古自治区,呼伦贝尔市
113,汨罗市,,wt0n,29,,中国,湖南省,岳阳市
117,丰宁满族自治县,,wx6f,41,,中国,河北省,承德市
112,介休市,,wqx6,37,,中国,山西省,晋中市
115,临泉县,,wtcd,33,,中国,安徽省,阜阳市
89,吉木萨尔县,,tzz6,44,,中国,新疆维吾尔自治区,昌吉回族自治州
102,互助土族自治县,,wq82,37,,中国,青海省,海东市
111,全州县,全大线,wkwg,26,全大线,中国,广西壮族自治区,桂林市
117,萧县,京台高速公路,wtfz,34,京台高速公路,中国,安徽省,宿州市
117,三河市,京秦高速公路,wx56,40,京秦高速公路,中国,河北省,廊坊市
109,汉滨区,,wmvt,33,,中国,陕西省,安康市
118,明光市,,wtu4,33,,中国,安徽省,滁州市
109,黎平县,,wkt9,26,,中国,贵州省,黔东南苗族侗族自治州
110,雷州市,,w7wr,21,,中国,广东省,湛江市
119,宣州区,,wtsc,31,,中国,安徽省,宣城市
104,沐川县,,wm1v,29,,中国,四川省,乐山市
107,南郑区,,wmu3,33,,中国,陕西省,汉中市
120,兴化市,大周公路,wtv3,33,大周公路,中国,江苏省,泰州市
107,凤县,,wqh7,34,,中国,陕西省,宝鸡市
118,德兴市,,wth5,29,,中国,江西省,上饶市
111,府谷县,黄河路(西),wqzn,39,黄河路(西),中国,陕西省,榆林市
119,衢江区,050村道,wtht,29,050村道,中国,浙江省,衢州市
117,桐城市,,wte0,31,,中国,安徽省,安庆市
100,凤庆县,,whqv,25,,中国,云南省,临沧市
121,,,wtvv,33,,中国,中国区域,
105,三台县,,wmdb,31,,中国,四川省,绵阳市
117,丰宁满族自治县,,wx5n,41,,中国,河北省,承德市
110,雷州市,,w7y2,21,,中国,广东省,湛江市
120,永康市,,wtjn,29,,中国,浙江省,金华市
107,綦江区,,wmhp,29,,中国,重庆市,重庆市
126,肇东市,,yb1w,46,,中国,黑龙江省,绥化市
118,义安区,,wts1,31,,中国,安徽省,铜陵市
119,莒县,,wwk7,36,,中国,山东省,日照市
103,建水县,,wk30,24,,中国,云南省,红河哈尼族彝族自治州
121,临海市,,wtnn,29,,中国,浙江省,台州市
112,内乡县,,wmz9,33,,中国,河南省,南阳市
107,盐池县,,wqsm,38,,中国,宁夏回族自治区,吴忠市
128,unknow,unknow,ybg6,50,unknow,俄罗斯,unknow,unknow
98,unknow,unknow,w1mz,8,unknow,Ocean,unknow,unknow
111,,,w7qw,19,,中国,中国区域,
114,阳原县,,wx0v,40,,中国,河北省,张家口市
114,嘉鱼县,,wt2b,30,,中国,湖北省,咸宁市
101,大姚县,,whxd,26,,中国,云南省,楚雄彝族自治州
111,乡宁县,,wqqe,36,,中国,山西省,临汾市
114,修水县,,wt1m,29,,中国,江西省,九江市
112,内乡县,,wmzs,33,,中国,河南省,南阳市
120,兴化市,大周公路,wtv1,33,大周公路,中国,江苏省,泰州市
124,甘南县,,yb87,48,,中国,黑龙江省,齐齐哈尔市
117,萧县,京台高速公路,ww53,34,京台高速公路,中国,安徽省,宿州市
108,西乡县,,wmud,33,,中国,陕西省,汉中市
126,通化县,,wz3s,42,,中国,吉林省,通化市
125,呼玛县,,yc29,52,,中国,黑龙江省,大兴安岭地区
117,南皮县,,wweq,38,,中国,河北省,沧州市
101,民乐县,,wq8n,38,,中国,甘肃省,张掖市
117,东至县,,wt73,30,,中国,安徽省,池州市
89,亚东县,,tuzm,28,,中国,西藏自治区,日喀则市
116,夏津县,历亭街,wwd8,37,历亭街,中国,山东省,德州市
93,冷湖行政委员会,,wnfr,39,,中国,青海省,海西蒙古族藏族自治州
110,商州区,,wmyr,34,,中国,陕西省,商洛市
115,太康县,,ww1b,34,,中国,河南省,周口市
117,萧县,京台高速公路,ww54,34,京台高速公路,中国,安徽省,宿州市
124,东港市,,wz0k,40,,中国,辽宁省,丹东市
122,象山县,,wtns,29,,中国,浙江省,宁波市
98,都兰县,,wnmy,36,,中国,青海省,海西蒙古族藏族自治州
118,全椒县,,wtsj,32,,中国,安徽省,滁州市
102,新平彝族傣族自治县,,wk2d,24,,中国,云南省,玉溪市
115,清丰县,,ww3t,36,,中国,河南省,濮阳市
115,蔚县,广浑高速公路,wx4j,40,广浑高速公路,中国,河北省,张家口市
113,京山市,,wt80,31,,中国,湖北省,荆门市
122,,,wtw8,31,,中国,中国区域,
106,江津区,,wm54,29,,中国,重庆市,重庆市
109,岚皋县,,wmtw,32,,中国,陕西省,安康市
105,三台县,,wmd2,31,,中国,四川省,绵阳市
119,翁牛特旗,,wxsf,43,,中国,内蒙古自治区,赤峰市
120,,,wxj5,40,,中国,中国区域,
100,洱源县,温起线,whxk,26,温起线,中国,云南省,大理白族自治州
121,北票市,,wxqm,42,,中国,辽宁省,朝阳市
114,,创新路,ws11,23,创新路,中国,广东省,东莞市
114,永新县,,wsc3,27,,中国,江西省,吉安市
111,盐湖区,滨湖路,wqny,35,滨湖路,中国,山西省,运城市
119,永泰县,,wss6,26,,中国,福建省,福州市
118,克什克腾旗,,wxew,43,,中国,内蒙古自治区,赤峰市
111,岑溪市,,wkn9,23,,中国,广西壮族自治区,梧州市
104,丘北县,,wk4n,24,,中国,云南省,文山壮族苗族自治州
105,安岳县,,wm68,30,,中国,四川省,资阳市
105,礼县,,wq43,34,,中国,甘肃省,陇南市
120,泰兴市,,wttq,32,,中国,江苏省,泰州市
120,兴化市,大周公路,wtvs,33,大周公路,中国,江苏省,泰州市
-123,unknow,unknow,c28r,49,unknow,美国,unknow,unknow
115,大冶市,,wt3s,30,,中国,湖北省,黄石市
119,屏南县,,wssz,27,,中国,福建省,宁德市
86,哈巴河县,,vbt3,48,,中国,新疆维吾尔自治区,阿勒泰地区
113,禅城区,季华西路,ws0e,23,季华西路,中国,广东省,佛山市
116,门头沟区,,wx4d,40,,中国,北京市,北京市
112,新安县,三岔口隧道,wqpk,35,三岔口隧道,中国,河南省,洛阳市
109,长安区,,wqj2,34,,中国,陕西省,西安市
114,阜平县,,wwck,39,,中国,河北省,保定市
109,长安区,,wqj7,34,,中国,陕西省,西安市
120,,,wxjh,40,,中国,中国区域,
131,东宁市,,wzv6,44,,中国,黑龙江省,牡丹江市
110,龙胜各族自治县,,wktf,26,,中国,广西壮族自治区,桂林市
103,官渡区,,wk92,25,,中国,云南省,昆明市
110,永顺县,,wmn7,29,,中国,湖南省,湘西土家族苗族自治州
107,凤县,,wqh5,34,,中国,陕西省,宝鸡市
118,林西县,,wxu4,44,,中国,内蒙古自治区,赤峰市
107,长寿区,,wmkk,30,,中国,重庆市,重庆市
105,安岳县,,wm6v,30,,中国,四川省,资阳市
114,驿城区,盘龙山路,wtc1,33,盘龙山路,中国,河南省,驻马店市
102,九龙县,,wm0f,29,,中国,四川省,甘孜藏族自治州
106,铜梁区,,wm70,30,,中国,重庆市,重庆市
115,平乡县,,ww9g,37,,中国,河北省,邢台市
113,宝丰县,,wtbr,34,,中国,河南省,平顶山市
121,北票市,,wxmv,42,,中国,辽宁省,朝阳市
114,阳原县,,wx0g,40,,中国,河北省,张家口市
107,开阳县,,wku0,27,,中国,贵州省,贵阳市
94,格尔木市,,wn75,36,,中国,青海省,海西蒙古族藏族自治州
49,unknow,unknow,vpgp,90,unknow,Ocean,unknow,unknow
126,肇东市,,yb1m,46,,中国,黑龙江省,绥化市
107,陇县,,wq5y,35,,中国,陕西省,宝鸡市
121,北票市,,wxw0,42,,中国,辽宁省,朝阳市
105,富顺县,,wm4y,29,,中国,四川省,自贡市
110,雷州市,,w7y3,21,,中国,广东省,湛江市
118,黟县,,wtk0,30,,中国,安徽省,黄山市
120,长兴县,,wtmq,31,,中国,浙江省,湖州市
121,奈曼旗,,wxty,43,,中国,内蒙古自治区,通辽市
125,宽甸满族自治县,,wz34,41,,中国,辽宁省,丹东市
124,双辽市,,wxzg,44,,中国,吉林省,四平市
100,澜沧拉祜族自治县,,whp5,23,,中国,云南省,普洱市
107,长寿区,,wmk5,30,,中国,重庆市,重庆市
119,平泉市,,wxkb,41,,中国,河北省,承德市
111,石门县,,wmr1,30,,中国,湖南省,常德市
112,公安县,汪杨线,wmrs,30,汪杨线,中国,湖北省,荆州市
114,驿城区,盘龙山路,wtby,33,盘龙山路,中国,河南省,驻马店市
112,宁乡市,,wmp8,28,,中国,湖南省,长沙市
120,喀喇沁左翼蒙古族自治县,,wxjx,41,,中国,辽宁省,朝阳市
115,顺平县,,wx40,39,,中国,河北省,保定市
113,衡东县,,wsb0,27,,中国,湖南省,衡阳市
119,沭阳县,,wwh9,34,,中国,江苏省,宿迁市
108,鄂托克前旗,,wqsx,38,,中国,内蒙古自治区,鄂尔多斯市
126,肇东市,,yb1x,46,,中国,黑龙江省,绥化市
118,顺昌县,,wssp,27,,中国,福建省,南平市
120,喀喇沁左翼蒙古族自治县,,wxm8,41,,中国,辽宁省,朝阳市
110,永顺县,,wmnq,29,,中国,湖南省,湘西土家族苗族自治州
113,察哈尔右翼前旗,,wx0q,41,,中国,内蒙古自治区,乌兰察布市
105,广南县,珠西公路,wk6d,24,珠西公路,中国,云南省,文山壮族苗族自治州
122,象山县,,wtne,29,,中国,浙江省,宁波市
113,禅城区,季华西路,ws0s,23,季华西路,中国,广东省,佛山市
102,阿坝县,,wmbc,33,,中国,四川省,阿坝藏族羌族自治州
83,阿拉山口市,,tzfy,45,,中国,新疆维吾尔自治区,博尔塔拉蒙古自治州
107,开阳县,,wksp,27,,中国,贵州省,贵阳市
87,昌吉市,,tzy0,44,,中国,新疆维吾尔自治区,昌吉回族自治州
118,睢宁县,魏袁线,ww59,34,魏袁线,中国,江苏省,徐州市
118,义安区,,wtkp,31,,中国,安徽省,铜陵市
99,肃南裕固族自治县,,wnyx,39,,中国,甘肃省,张掖市
112,怀集县,,wkrd,24,,中国,广东省,肇庆市
104,榆中县,,wq3w,36,,中国,甘肃省,兰州市
106,黔西县,贵毕公路,wkg7,27,贵毕公路,中国,贵州省,毕节市
95,格尔木市,,wn7w,36,,中国,青海省,海西蒙古族藏族自治州
124,本溪满族自治县,,wxrf,41,,中国,辽宁省,本溪市
118,安溪县,,wsk5,25,,中国,福建省,泉州市
104,榆中县,,wq6p,36,,中国,甘肃省,兰州市
109,乌审旗,,wrj8,39,,中国,内蒙古自治区,鄂尔多斯市
116,武平县,,ws6q,25,,中国,福建省,龙岩市
116,武强县,,wwfd,38,,中国,河北省,衡水市
105,富顺县,,wm4z,29,,中国,四川省,自贡市
101,民乐县,,wnzb,38,,中国,甘肃省,张掖市
116,永城市,,wtfr,34,,中国,河南省,商丘市
107,渠县,,wmkq,31,,中国,四川省,达州市
105,会宁县,,wq6w,36,,中国,甘肃省,白银市
100,凤庆县,,whqu,25,,中国,云南省,临沧市
112,汉寿县,,wmpf,29,,中国,湖南省,常德市
112,东宝区,,wmxb,31,,中国,湖北省,荆门市
120,长兴县,,wtmw,31,,中国,浙江省,湖州市
116,黄梅县,,wt6e,30,,中国,湖北省,黄冈市
111,卢氏县,209国道(旧),wqp0,34,209国道(旧),中国,河南省,三门峡市
113,温县,马武线,ww0m,35,马武线,中国,河南省,焦作市
99,肃南裕固族自治县,,wpn8,39,,中国,甘肃省,张掖市
114,永新县,,ws9r,27,,中国,江西省,吉安市
117,清流县,,wse6,26,,中国,福建省,三明市
24,unknow,unknow,uxbz,90,unknow,Ocean,unknow,unknow
114,修水县,,wt1j,29,,中国,江西省,九江市
112,阳东区,,w7zw,22,,中国,广东省,阳江市
123,镇赉县,,y8pe,46,,中国,吉林省,白城市
134,unknow,unknow,ybpj,46,unknow,俄罗斯,unknow,unknow
114,尚义县,,wx1r,41,,中国,河北省,张家口市
128,敦化市,,wzer,44,,中国,吉林省,延边朝鲜族自治州
114,阜平县,,wx10,39,,中国,河北省,保定市
111,临县,从龙北路,wqwz,38,从龙北路,中国,山西省,吕梁市
125,依安县,,yb8g,48,,中国,黑龙江省,齐齐哈尔市
116,颍东区,,wtfq,33,,中国,安徽省,阜阳市
113,苏仙区,,ws8w,26,,中国,湖南省,郴州市
104,丘北县,,wk1x,24,,中国,云南省,文山壮族苗族自治州
99,维西傈僳族自治县,,wjn8,28,,中国,云南省,迪庆藏族自治州
119,永泰县,,wssm,26,,中国,福建省,福州市
120,滨海县,新建路,wwj9,34,新建路,中国,江苏省,盐城市
111,桃源县,,wmnw,29,,中国,湖南省,常德市
117,肥西县,,wtdu,32,,中国,安徽省,合肥市
111,岑溪市,,wkns,23,,中国,广西壮族自治区,梧州市
110,延川县,,wqtc,37,,中国,陕西省,延安市
87,昌吉市,,tzvg,44,,中国,新疆维吾尔自治区,昌吉回族自治州
121,上虞区,,wtq0,30,,中国,浙江省,绍兴市
101,大姚县,,whxg,26,,中国,云南省,楚雄彝族自治州
99,乌兰县,,wnw4,37,,中国,青海省,海西蒙古族藏族自治州
115,临泉县,,wtfn,33,,中国,安徽省,阜阳市
111,乡宁县,,wqqf,36,,中国,山西省,临汾市
107,南郑区,,wmu5,33,,中国,陕西省,汉中市
114,孝南区,福银高速公路,wt94,31,福银高速公路,中国,湖北省,孝感市
105,富顺县,,wm4x,29,,中国,四川省,自贡市
101,镇沅县,,whrb,24,,中国,云南省,普洱市
99,unknow,unknow,whne,23,unknow,缅甸,unknow,unknow
28,unknow,unknow,uxup,90,unknow,Ocean,unknow,unknow
105,兴义市,,wk6r,25,,中国,贵州省,黔西南布依族苗族自治州
121,临海市,,wtn5,29,,中国,浙江省,台州市
106,青铜峡市,大中公路,wqep,38,大中公路,中国,宁夏回族自治区,吴忠市
110,郧西县,,wmvc,33,,中国,湖北省,十堰市
115,顺平县,,wwfp,39,,中国,河北省,保定市
112,怀集县,,wkr2,24,,中国,广东省,肇庆市
121,奈曼旗,,wxw4,43,,中国,内蒙古自治区,通辽市
116,多伦县,,wx6k,42,,中国,内蒙古自治区,锡林郭勒盟
106,册亨县,,wke0,25,,中国,贵州省,黔西南布依族苗族自治州
110,,,w7mb,18,,中国,中国区域,
104,景泰县,,wqd5,37,,中国,甘肃省,白银市
112,嵩县,,wqpf,34,,中国,河南省,洛阳市
102,康定市,,wm2b,30,,中国,四川省,甘孜藏族自治州
108,丰都县,,wmk9,30,,中国,重庆市,重庆市
121,北票市,,wxqk,42,,中国,辽宁省,朝阳市
121,海阳市,,www1,37,,中国,山东省,烟台市
116,永城市,,ww47,34,,中国,河南省,商丘市
117,济阳区,,wwe5,37,,中国,山东省,济南市
110,鹤峰县,,wmqh,30,,中国,湖北省,恩施土家族苗族自治州
107,镇原县,,wq7g,36,,中国,甘肃省,庆阳市
124,unknow,unknow,wcb4,10,unknow,菲律宾,unknow,unknow
118,顺昌县,,wsu5,27,,中国,福建省,南平市
105,普安县,,wkdk,26,,中国,贵州省,黔西南布依族苗族自治州
106,西吉县,,wq7w,36,,中国,宁夏回族自治区,固原市
115,顺平县,,wwcs,39,,中国,河北省,保定市
114,阜平县,,wwbv,39,,中国,河北省,保定市
110,巫山县,,wmw1,31,,中国,重庆市,重庆市
122,阜新蒙古族自治县,,wxqz,42,,中国,辽宁省,阜新市
107,巴州区,,wmsp,32,,中国,四川省,巴中市
125,宽甸满族自治县,,wz0x,41,,中国,辽宁省,丹东市
106,铜梁区,,wm75,30,,中国,重庆市,重庆市
104,彭州市,,wmd4,31,,中国,四川省,成都市
118,顺昌县,,wsex,27,,中国,福建省,南平市
119,衢江区,050村道,wthw,29,050村道,中国,浙江省,衢州市
117,诏安县,,ws71,24,,中国,福建省,漳州市
108,环江毛南族自治县,,wkku,25,,中国,广西壮族自治区,河池市
102,禄丰县,,wk2x,25,,中国,云南省,楚雄彝族自治州
112,东宝区,,wmrr,31,,中国,湖北省,荆门市
107,南郑区,,wmgu,33,,中国,陕西省,汉中市
118,明光市,,wtge,33,,中国,安徽省,滁州市
112,东宝区,,wmx2,31,,中国,湖北省,荆门市
102,米易县,盐米路,wkbd,27,盐米路,中国,四川省,攀枝花市
112,介休市,,wqxd,37,,中国,山西省,晋中市
110,竹山县,,wmwk,32,,中国,湖北省,十堰市
126,肇东市,,yb3b,46,,中国,黑龙江省,绥化市
112,新城区,,wrr2,41,,中国,内蒙古自治区,呼和浩特市
101,玛曲县,,wmbp,34,,中国,甘肃省,甘南藏族自治州
122,,,wtqw,31,,中国,中国区域,
109,罗城仫佬族自治县,,wkmt,25,,中国,广西壮族自治区,河池市
116,惠来县,,ws4k,23,,中国,广东省,揭阳市
112,公安县,汪杨线,wmr7,30,汪杨线,中国,湖北省,荆州市
105,安岳县,,wm6u,30,,中国,四川省,资阳市
110,神木市,,wqvz,39,,中国,陕西省,榆林市
120,鄂温克族自治旗,,y8t6,48,,中国,内蒙古自治区,呼伦贝尔市
110,榆阳区,,wqvb,38,,中国,陕西省,榆林市
105,威信县,顺中线,wkfw,28,顺中线,中国,云南省,昭通市
115,东源县,,ws38,24,,中国,广东省,河源市
100,凤庆县,,whqz,25,,中国,云南省,临沧市
102,墨江哈尼族自治县,,wk07,23,,中国,云南省,普洱市
126,磐石市,沈吉高速公路,wz9w,43,沈吉高速公路,中国,吉林省,吉林市
121,上虞区,,wtmv,30,,中国,浙江省,绍兴市
101,贵南县,,wnrw,36,,中国,青海省,海南藏族自治州
102,禄丰县,,wk2v,25,,中国,云南省,楚雄彝族自治州
121,扎鲁特旗,,wxy6,44,,中国,内蒙古自治区,通辽市
111,石门县,,wmqe,30,,中国,湖南省,常德市
125,西安区,集双高速,wz8f,43,集双高速,中国,吉林省,辽源市
125,清原满族自治县,,wz91,42,,中国,辽宁省,抚顺市
109,云阳县,,wmmq,31,,中国,重庆市,重庆市
125,鄂伦春自治旗,,ybbu,50,,中国,内蒙古自治区,呼伦贝尔市
110,鹤峰县,,wmq2,30,,中国,湖北省,恩施土家族苗族自治州
118,德兴市,,wthj,29,,中国,江西省,上饶市
113,察哈尔右翼前旗,,wx27,41,,中国,内蒙古自治区,乌兰察布市
113,随县,,wt8p,32,,中国,湖北省,随州市
118,尤溪县,,wssn,26,,中国,福建省,三明市
27,unknow,unknow,uxgp,90,unknow,Ocean,unknow,unknow
109,宾阳县,泉南高速公路,wkj2,23,泉南高速公路,中国,广西壮族自治区,南宁市
114,新丰县,,ws1q,24,,中国,广东省,韶关市
105,会宁县,,wq6u,36,,中国,甘肃省,白银市
108,施秉县,,wkv0,27,,中国,贵州省,黔东南苗族侗族自治州
112,嵩县,,wqpd,34,,中国,河南省,洛阳市
112,苏尼特左旗,,wrz8,44,,中国,内蒙古自治区,锡林郭勒盟
108,环江毛南族自治县,,wkkv,25,,中国,广西壮族自治区,河池市
95,瓜州县,,wp7c,41,,中国,甘肃省,酒泉市
98,玉门市,,wpjf,40,,中国,甘肃省,酒泉市
113,天心区,芙蓉大道,wsbw,28,芙蓉大道,中国,湖南省,长沙市
111,石门县,,wmr4,30,,中国,湖南省,常德市
100,澜沧拉祜族自治县,,whp7,23,,中国,云南省,普洱市
117,三河市,京秦高速公路,wx5m,40,京秦高速公路,中国,河北省,廊坊市
120,,,wsth,26,,中国,中国区域,
104,罗平县,,wk3u,25,,中国,云南省,曲靖市
122,科尔沁左翼后旗,,wxwu,43,,中国,内蒙古自治区,通辽市
119,淳安县,,wtk2,30,,中国,浙江省,杭州市
123,龙江县,,y8rm,47,,中国,黑龙江省,齐齐哈尔市
117,肥西县,,wter,32,,中国,安徽省,合肥市
105,礼县,,wq4b,34,,中国,甘肃省,陇南市
84,额敏县,,vb7d,47,,中国,新疆维吾尔自治区,塔城地区
109,宾阳县,泉南高速公路,wkjs,23,泉南高速公路,中国,广西壮族自治区,南宁市
105,纳雍县,,wkf6,27,,中国,贵州省,毕节市
102,元谋县,,wk8m,26,,中国,云南省,楚雄彝族自治州
115,定南县,,ws98,25,,中国,江西省,赣州市
100,色达县,,wjx5,32,,中国,四川省,甘孜藏族自治州
107,长寿区,,wmk6,30,,中国,重庆市,重庆市
116,颍东区,,wtfs,33,,中国,安徽省,阜阳市
112,宁乡市,,wkzs,28,,中国,湖南省,长沙市
117,静海区,,wwfv,39,,中国,天津市,天津市
123,unknow,unknow,wdpw,12,unknow,菲律宾,unknow,unknow
121,临海市,,wtn6,29,,中国,浙江省,台州市
101,雅江县,,wjrd,30,,中国,四川省,甘孜藏族自治州
117,金溪县,,wsgr,28,,中国,江西省,抚州市
114,建安区,,wtcp,34,,中国,河南省,许昌市
119,喀喇沁旗,,wxsc,42,,中国,内蒙古自治区,赤峰市
112,阳东区,,w7zt,22,,中国,广东省,阳江市
116,霍邱县,,wtf8,32,,中国,安徽省,六安市
106,秦安县,,wq5j,35,,中国,甘肃省,天水市
107,绥阳县,,wm5b,28,,中国,贵州省,遵义市
111,新化县,,wkyy,28,,中国,湖南省,娄底市
112,宁乡市,,wkzr,28,,中国,湖南省,长沙市
117,丰宁满族自治县,,wx72,41,,中国,河北省,承德市
122,乌兰浩特市,,y8nw,46,,中国,内蒙古自治区,兴安盟
106,江津区,,wm5h,29,,中国,重庆市,重庆市
109,杭锦旗,,wrj6,40,,中国,内蒙古自治区,鄂尔多斯市
88,阜康市,,tzy2,44,,中国,新疆维吾尔自治区,昌吉回族自治州
118,上饶县,,wth0,28,,中国,江西省,上饶市
117,桐城市,,wt7r,31,,中国,安徽省,安庆市
25,unknow,unknow,uxcz,90,unknow,Ocean,unknow,unknow
33,unknow,unknow,uxzx,90,unknow,Ocean,unknow,unknow
108,上思县,,w7v5,22,,中国,广西壮族自治区,防城港市
117,肥西县,,wten,32,,中国,安徽省,合肥市
108,西乡县,,wmuc,33,,中国,陕西省,汉中市
89,高昌区,,tzx5,43,,中国,新疆维吾尔自治区,吐鲁番市
120,兴化市,大周公路,wtvn,33,大周公路,中国,江苏省,泰州市
105,安岳县,,wm62,30,,中国,四川省,资阳市
117,鄱阳县,,wt5k,29,,中国,江西省,上饶市
116,安新县,保静线,wx48,39,保静线,中国,河北省,保定市
111,高州市,,w7yf,22,,中国,广东省,茂名市
117,鄱阳县,,wt4y,29,,中国,江西省,上饶市
118,兰陵县,,ww5y,35,,中国,山东省,临沂市
114,孝南区,福银高速公路,wt91,31,福银高速公路,中国,湖北省,孝感市
123,扎兰屯市,,y8x7,48,,中国,内蒙古自治区,呼伦贝尔市
120,敖汉旗,,wxt8,42,,中国,内蒙古自治区,赤峰市
120,平度市,,wwt4,37,,中国,山东省,青岛市
106,富宁县,,wk78,24,,中国,云南省,文山壮族苗族自治州
114,建安区,,ww10,34,,中国,河南省,许昌市
110,泸溪县,,wkvz,28,,中国,湖南省,湘西土家族苗族自治州
116,武强县,,wwf3,38,,中国,河北省,衡水市
113,监利县,,wt28,30,,中国,湖北省,荆州市
104,彭州市,,wm6n,31,,中国,四川省,成都市
116,永城市,,ww42,34,,中国,河南省,商丘市
121,海阳市,,wwtc,37,,中国,山东省,烟台市
108,万源市,,wmv0,32,,中国,四川省,达州市
114,驿城区,盘龙山路,wtcm,33,盘龙山路,中国,河南省,驻马店市
118,睢宁县,魏袁线,wwh4,34,魏袁线,中国,江苏省,徐州市
105,广南县,珠西公路,wk68,24,珠西公路,中国,云南省,文山壮族苗族自治州
100,共和县,,wnx2,37,,中国,青海省,海南藏族自治州
107,南郑区,,wmuj,33,,中国,陕西省,汉中市
119,卢龙县,,wxhe,40,,中国,河北省,秦皇岛市
103,峨边彝族自治县,,wm1q,29,,中国,四川省,乐山市
118,桓台县,周荆路,wws0,37,周荆路,中国,山东省,淄博市
118,,,wx58,39,,中国,中国区域,
104,榆中县,,wq3t,36,,中国,甘肃省,兰州市
100,洱源县,温起线,whx6,26,温起线,中国,云南省,大理白族自治州
107,开阳县,,wksr,27,,中国,贵州省,贵阳市
108,都安瑶族自治县,,wkm1,24,,中国,广西壮族自治区,河池市
118,尤溪县,,wsey,26,,中国,福建省,三明市
109,乌审旗,,wqvs,39,,中国,内蒙古自治区,鄂尔多斯市
125,大同区,,yb30,46,,中国,黑龙江省,大庆市
115,清丰县,,ww6p,36,,中国,河南省,濮阳市
82,双河市,,vb42,45,,中国,新疆维吾尔自治区,双河市
112,襄城区,,wmxw,32,,中国,湖北省,襄阳市
121,南票区,,wxq4,41,,中国,辽宁省,葫芦岛市
127,榆树市,,wzfp,45,,中国,吉林省,长春市
111,临县,从龙北路,wqwx,38,从龙北路,中国,山西省,吕梁市
126,通化县,,wz3t,42,,中国,吉林省,通化市
112,苏尼特左旗,,wrzv,45,,中国,内蒙古自治区,锡林郭勒盟
108,周至县,,wqj5,34,,中国,陕西省,西安市
111,高州市,,w7yv,22,,中国,广东省,茂名市
117,诏安县,,ws5q,24,,中国,福建省,漳州市
117,滕州市,,ww6b,35,,中国,山东省,枣庄市
120,富阳区,长深高速公路,wtm9,30,长深高速公路,中国,浙江省,杭州市
109,宾阳县,泉南高速公路,wkj6,23,泉南高速公路,中国,广西壮族自治区,南宁市
115,顺平县,,wwcv,39,,中国,河北省,保定市
103,峨边彝族自治县,,wm1k,29,,中国,四川省,乐山市
79,巴楚县,,tz04,40,,中国,新疆维吾尔自治区,喀什地区
